theta (degree),cross-section (mb/sr),error (mb/sr)
32.0,6.34E-1,0.45E-1
35.0,2.77E-1,0.20E-1
37.5,1.40E-1,0.10E-1
40.0,5.89E-2,0.35E-2
42.0,3.25E-2,0.30E-2
44.0,1.61E-2,0.10E-2
46.0,7.95E-3,0.80E-3
47.0,5.32E-3,0.50E-3
48.0,3.46E-3,0.25E-3
49.0,2.40E-3,0.25E-3
50.0,1.62E-3,0.15E-3
51.0,1.19E-3,0.10E-3
52.0,8.27E-4,0.40E-4
54.0,5.38E-4,0.40E-4
55.0,4.71E-4,0.50E-4
56.0,4.32E-4,0.30E-4
58.0,4.50E-4,0.45E-4
60.0,4.82E-4,0.30E-4
64.0,4.54E-4,0.30E-4
68.0,3.24E-4,0.25E-4
72.0,2.11E-4,0.15E-4
76.0,1.18E-4,0.10E-4
80.0,6.12E-5,0.40E-5
85.0,2.23E-5,0.15E-5
90.0,6.50E-6,0.45E-6
95.0,1.42E-6,0.10E-6
100.0,2.70E-7,0.35E-7
105.0,2.13E-7,0.25E-7
110.0,3.92E-7,0.45E-7
115.0,3.13E-7,0.55E-7
125.0,2.21E-7,0.30E-7